町丁名,Column_1,Column_2,Column_3
0〜4歳,26,9,17
100歳以上,0,0,0
10〜14歳,21,11,10
15〜19歳,38,24,14
20〜24歳,36,18,18
25〜29歳,55,26,29
30〜34歳,36,18,18
35〜39歳,44,18,26
40〜44歳,34,18,16
45〜49歳,34,18,16
50〜54歳,41,19,22
55〜59歳,73,37,36
5〜9歳,41,22,19
60〜64歳,40,20,20
65〜69歳,41,20,21
70〜74歳,36,18,18
75〜79歳,23,8,15
80〜84歳,17,3,14
85〜89歳,16,3,13
90〜94歳,10,4,6
95〜99歳,2,1,1
万楽寺町,,,
万町１丁目,,,
万町２丁目,,,
三郎１丁目,,,
三郎２丁目,,,
上ノ郷町,,,
上京塚町,,,
上南部町,,,
上林町,,,
上水前寺１丁目,,,
上水前寺２丁目,,,
上熊本１丁目,,,
上熊本２丁目,,,
上熊本３丁目,,,
上通町,,,
上鍛冶屋町,,,
上高橋町,,,
下南部町,,,
下南部１丁目,,,
下南部２丁目,,,
下南部３丁目,,,
下硯川町,,,
下通１丁目,,,
下通２丁目,,,
世安町,,,
並建町,,,
中原町,,,
中唐人町,,,
中央街,,,
中島町,,,
中江町,,,
中無田町,,,
乗越ヶ丘,,,
九品寺１丁目,,,
九品寺２丁目,,,
九品寺３丁目,,,
九品寺４丁目,,,
九品寺５丁目,,,
九品寺６丁目,,,
二の丸,,,
二本木１丁目,,,
二本木２丁目,,,
二本木３丁目,,,
二本木４丁目,,,
二本木５丁目,,,
井川淵町,,,
京塚本町,,,
京町本丁,,,
京町１丁目,,,
京町２丁目,,,
今町,,,
会富町,,,
佐土原１丁目,,,
佐土原２丁目,,,
佐土原３丁目,,,
保田窪本町,,,
保田窪１丁目,,,
保田窪２丁目,,,
保田窪３丁目,,,
保田窪４丁目,,,
保田窪５丁目,,,
健軍本町,,,
健軍町,,,
健軍１丁目,,,
健軍２丁目,,,
健軍３丁目,,,
健軍４丁目,,,
健軍５丁目,,,
元三町,【秘匿】野田２丁目を含みます,,
元三町１丁目,,,
元三町２丁目,,,
元三町３丁目,,,
元三町４丁目,,,
元三町５丁目,,,
八分字町,,,
八反田１丁目,,,
八反田２丁目,,,
八反田３丁目,,,
八島町,,,
八島１丁目,,,
八島２丁目,,,
八幡町,,,
八幡１丁目,,,
八幡１０丁目,,,
八幡１１丁目,,,
八幡２丁目,,,
八幡３丁目,,,
八幡４丁目,,,
八幡５丁目,,,
八幡６丁目,,,
八幡７丁目,,,
八幡８丁目,,,
八幡９丁目,,,
八景水谷１丁目,,,
八景水谷２丁目,,,
八景水谷３丁目,,,
八景水谷４丁目,,,
八王寺町,,,
内坪井町,,,
内田町,,,
出仲間１丁目,,,
出仲間２丁目,,,
出仲間３丁目,,,
出仲間４丁目,,,
出仲間５丁目,,,
出仲間６丁目,,,
出仲間７丁目,,,
出仲間８丁目,,,
出仲間９丁目,,,
出水１丁目,,,
出水２丁目,,,
出水３丁目,,,
出水４丁目,,,
出水５丁目,,,
出水６丁目,,,
出水７丁目,,,
出水８丁目,,,
出町,,,
刈草町,,,
北千反畑町,,,
北迫町,,,
十禅寺町,,,
十禅寺１丁目,,,
十禅寺２丁目,,,
十禅寺３丁目,【秘匿】近見６丁目を含みます,,
千葉城町,,,
南千反畑町,,,
南坪井町,,,
南熊本１丁目,,,
南熊本２丁目,,,
南熊本３丁目,,,
南熊本４丁目,,,
南熊本５丁目,,,
南町,,,
南高江町,【秘匿】南高江４丁目を含みます,,
南高江１丁目,,,
南高江２丁目,,,
南高江３丁目,,,
南高江４丁目,【秘匿】南高江町を含みます,,
南高江５丁目,,,
南高江６丁目,,,
南高江７丁目,,,
古京町,,,
古城町,,,
古大工町,,,
古川町,,,
古桶屋町,【秘匿】小沢町を含みます,,
合志町,,,
吉原町,,,
呉服町１丁目,,,
呉服町２丁目,,,
呉服町３丁目,,,
和泉町,,,
四方寄町,,,
国府本町,,,
国府１丁目,,,
国府２丁目,,,
国府３丁目,,,
国府４丁目,,,
土河原町,,,
坪井１丁目,,,
坪井２丁目,,,
坪井３丁目,,,
坪井４丁目,,,
坪井５丁目,,,
坪井６丁目,,,
城山上代町,,,
城山下代町,,,
城山半田町,,,
城山大塘町,,,
城山薬師町,,,
城東町,,,
壺川１丁目,,,
壺川２丁目,,,
大江本町,,,
大江町大字渡鹿,,,
大江１丁目,,,
大江２丁目,,,
大江３丁目,,,
大江４丁目,,,
大江５丁目,,,
大江６丁目,,,
大窪１丁目,,,
大窪２丁目,,,
大窪３丁目,,,
大窪４丁目,,,
大窪５丁目,,,
大鳥居町,,,
太郎迫町,,,
奥古閑町,,,
妙体寺町,,,
子飼本町,,,
孫代町,,,
安政町,,,
室園町,,,
宮内,,,
小山町,,,
小峯１丁目,,,
小峯２丁目,,,
小峯３丁目,,,
小峯４丁目,,,
小島上町,,,
小島下町,,,
小島中町,,,
小沢町,【秘匿】古桶屋町を含みます,,
小糸山町,,,
尾ノ上１丁目,,,
尾ノ上２丁目,,,
尾ノ上３丁目,,,
尾ノ上４丁目,,,
山ノ内１丁目,,,
山ノ内２丁目,,,
山ノ内３丁目,,,
山ノ内４丁目,,,
山ノ神１丁目,,,
山ノ神２丁目,,,
山室１丁目,,,
山室２丁目,,,
山室３丁目,,,
山室４丁目,,,
山室５丁目,,,
山室６丁目,,,
山崎町,,,
岡田町,,,
島崎１丁目,,,
島崎２丁目,,,
島崎３丁目,,,
島崎４丁目,,,
島崎５丁目,,,
島崎６丁目,,,
島崎７丁目,,,
島町,,,
川口町,,,
川尻町,,,
川尻１丁目,,,
川尻２丁目,,,
川尻３丁目,,,
川尻４丁目,,,
川尻５丁目,,,
川尻６丁目,,,
川端町,,,
帯山１丁目,,,
帯山２丁目,,,
帯山３丁目,,,
帯山４丁目,,,
帯山５丁目,,,
帯山６丁目,,,
帯山７丁目,,,
帯山８丁目,,,
帯山９丁目,,,
平山町,,,
平成17年4月1日現在,,,
平成１丁目,,,
平成２丁目,,,
平成３丁目,,,
平田１丁目,,,
平田２丁目,,,
年齢区分,平成17年04月　人　口,備考,
幸田１丁目,,,
幸田２丁目,,,
広木町,,,
弓削町,,,
弥生町,,,
御幸木部町,【秘匿】御幸笛田１丁目を含みます,,
御幸笛田町,,,
御幸西無田町,,,
御領町,,,
御領１丁目,,,
御領２丁目,,,
御領３丁目,,,
御領４丁目,,,
御領５丁目,,,
御領６丁目,,,
御領７丁目,,,
徳王町,,,
慶徳堀町,,,
戸坂町,,,
戸島町,,,
手取本町,,,
打越町,,,
改寄町,,,
新南部町,,,
新南部１丁目,,,
新南部２丁目,,,
新南部３丁目,,,
新南部４丁目,,,
新南部５丁目,,,
新南部６丁目,,,
新土河原１丁目,,,
新土河原２丁目,,,
新外１丁目,,,
新外２丁目,,,
新外３丁目,,,
新外４丁目,,,
新大江１丁目,,,
新大江２丁目,,,
新大江３丁目,,,
新屋敷１丁目,,,
新屋敷２丁目,,,
新屋敷３丁目,,,
新市街,,,
新港１丁目,,,
新生１丁目,,,
新生２丁目,,,
新町１丁目,,,
新町２丁目,,,
新町３丁目,,,
新町４丁目,,,
新鍛冶屋町,,,
日吉１丁目,,,
日吉２丁目,,,
明徳町,,,
春日町,,,
春日１丁目,,,
春日２丁目,,,
春日３丁目,,,
春日４丁目,,,
春日５丁目,,,
春日６丁目,,,
春日７丁目,,,
春日８丁目,,,
春竹町大字春竹,,,
昭和町,,,
月出１丁目,,,
月出２丁目,,,
月出３丁目,,,
月出４丁目,,,
月出５丁目,,,
月出６丁目,,,
月出７丁目,,,
月出８丁目,,,
本丸,【秘匿】水道町を含みます,,
本山町,,,
本山１丁目,,,
本山２丁目,,,
本山３丁目,,,
本山４丁目,,,
本荘町,,,
本荘１丁目,,,
本荘２丁目,,,
本荘３丁目,,,
本荘４丁目,,,
本荘５丁目,,,
本荘６丁目,,,
東京塚町,,,
東子飼町,,,
東本町,,,
東町,,,
東町１丁目,,,
東町２丁目,,,
東町３丁目,,,
東町４丁目,,,
東野１丁目,,,
東野２丁目,,,
東野３丁目,,,
東野４丁目,,,
東阿弥陀寺町,,,
松原町,,,
松尾町上松尾,,,
松尾町平山,,,
松尾町近津,,,
板屋町,,,
栄町,,,
桜木１丁目,,,
桜木２丁目,,,
桜木３丁目,,,
桜木４丁目,,,
桜木５丁目,,,
桜木６丁目,,,
桜町,,,
梶尾町,,,
楠野町,,,
楠１丁目,,,
楠２丁目,,,
楠３丁目,,,
楠４丁目,,,
楠５丁目,,,
楠６丁目,,,
楠７丁目,,,
楠８丁目,,,
榎町,,,
横手１丁目,,,
横手２丁目,,,
横手３丁目,,,
横手４丁目,,,
横手５丁目,,,
横紺屋町,,,
武蔵ケ丘１丁目,,,
武蔵ケ丘２丁目,,,
武蔵ケ丘３丁目,,,
武蔵ケ丘４丁目,,,
武蔵ケ丘５丁目,,,
武蔵ケ丘６丁目,,,
武蔵ケ丘７丁目,,,
武蔵ケ丘８丁目,,,
武蔵ケ丘９丁目,,,
段山本町,,,
水前寺公園,,,
水前寺１丁目,,,
水前寺２丁目,,,
水前寺３丁目,,,
水前寺４丁目,,,
水前寺５丁目,,,
水前寺６丁目,,,
水源１丁目,,,
水源２丁目,,,
水道町,【秘匿】本丸を含みます,,
江津１丁目,,,
江津２丁目,,,
江越１丁目,,,
江越２丁目,,,
池上町,,,
池亀町,,,
池田１丁目,,,
池田２丁目,,,
池田３丁目,,,
池田４丁目,,,
沖新町,,,
河内町大多尾,,,
河内町岳,,,
河内町東門寺,,,
河内町河内,,,
河内町白浜,,,
河内町船津,,,
河内町野出,,,
河内町面木,,,
河原町,,,
沼山津１丁目,,,
沼山津２丁目,,,
沼山津３丁目,,,
沼山津４丁目,,,
津浦町,,,
流通団地１丁目,,,
流通団地２丁目,【秘匿】近見６丁目を含みます,,
浜口町,,,
海路口町,,,
清水万石１丁目,,,
清水万石２丁目,,,
清水万石３丁目,,,
清水万石４丁目,,,
清水万石５丁目,,,
清水亀井町,【秘匿】清水町大字松崎、清水町大字室園を含みます,,
清水本町,,,
清水東町,,,
清水町大字万石,,,
清水町大字亀井,,,
清水町大字兎谷,,,
清水町大字大窪,,,
清水町大字室園,【秘匿】清水亀井町を含みます,,
清水町大字山室,,,
清水町大字打越,,,
清水町大字新地,,,
清水町大字松崎,【秘匿】清水亀井町を含みます,,
清水町大字楡木,,,
清水町大字高平,,,
清水町大字麻生田,,,
渡鹿１丁目,,,
渡鹿２丁目,,,
渡鹿３丁目,,,
渡鹿４丁目,,,
渡鹿５丁目,,,
渡鹿６丁目,,,
渡鹿７丁目,,,
渡鹿８丁目,,,
渡鹿９丁目,,,
湖東１丁目,,,
湖東２丁目,,,
湖東３丁目,,,
無田口町,,,
琴平本町,,,
琴平１丁目,,,
琴平２丁目,,,
田崎本町,,,
田崎町,,,
田崎１丁目,,,
田崎２丁目,,,
田崎３丁目,,,
田迎町大字出仲間,,,
田迎町大字田井島,,,
田迎町大字田迎,,,
田迎町大字良町,,,
田迎１丁目,,,
田迎２丁目,,,
田迎３丁目,,,
田迎４丁目,,,
田迎５丁目,,,
田迎６丁目,,,
町丁別の年齢５歳刻み一覧表,,,
画図町大字上無田,,,
画図町大字下江津,,,
画図町大字下無田,,,
画図町大字所島,,,
画図町大字重富,,,
畠口町,,,
白山１丁目,,,
白山２丁目,,,
白山３丁目,,,
白石町,,,
白藤町,,,
石原町,【秘匿】上南部３丁目を含みます,,
砂原町,,,
硯川町,,,
神水本町,,,
神水１丁目,,,
神水２丁目,,,
秋津新町,,,
秋津町沼山津,【秘匿】秋津町秋田を含みます,,
秋津町秋田,【秘匿】秋津町沼山津を含みます,,
秋津１丁目,,,
秋津２丁目,,,
秋津３丁目,,,
稗田町,,,
立福寺町,,,
米屋町１丁目,,,
米屋町２丁目,,,
米屋町３丁目,,,
細工町１丁目,,,
細工町２丁目,,,
細工町３丁目,,,
細工町４丁目,,,
細工町５丁目,,,
紺屋今町,,,
紺屋町１丁目,,,
紺屋町２丁目,,,
紺屋町３丁目,,,
紺屋阿弥陀寺町,,,
総数,664,315,349
練兵町,,,
美登里町,,,
船場町下１丁目,,,
船場町２丁目,,,
船場町３丁目,,,
花園１丁目,,,
花園２丁目,,,
花園３丁目,,,
花園４丁目,,,
花園５丁目,,,
花園６丁目,,,
花園７丁目,,,
花畑町,,,
花立１丁目,,,
花立２丁目,,,
花立３丁目,,,
花立４丁目,,,
花立５丁目,,,
花立６丁目,,,
若葉１丁目,,,
若葉２丁目,,,
若葉３丁目,,,
若葉４丁目,,,
若葉５丁目,,,
若葉６丁目,,,
草葉町,,,
荒尾町,【秘匿】白藤１丁目を含みます,,
菅原町,,,
萩原町,,,
蓮台寺町,,,
蓮台寺１丁目,,,
蓮台寺２丁目,,,
蓮台寺３丁目,,,
蓮台寺４丁目,,,
蓮台寺５丁目,,,
薄場町,,,
薬園町,,,
西原１丁目,,,
西原２丁目,,,
西原３丁目,,,
西唐人町,,,
西子飼町,,,
西梶尾町,,,
西阿弥陀寺町,,,
計,男,女,
護藤町,,,
谷尾崎町,,,
貢町,,,
辛島町,,,
迎町１丁目,,,
迎町２丁目,,,
近見町,,,
近見１丁目,,,
近見２丁目,,,
近見３丁目,,,
近見４丁目,,,
近見５丁目,【秘匿】近見６丁目を含みます,,
近見６丁目,【秘匿】流通団地２丁目、十禅寺３丁目、近見５丁目を含みます,,
近見７丁目,,,
近見８丁目,,,
近見９丁目,,,
通町,,,
野中１丁目,,,
野中２丁目,,,
野中３丁目,,,
野口町,【秘匿】白藤１丁目を含みます,,
野田町,,,
野田１丁目,,,
野田２丁目,【秘匿】元三町を含みます,,
野田３丁目,,,
釜尾町,,,
銭塘町,,,
錦ケ丘,,,
鍛冶屋町,,,
長嶺南１丁目,,,
長嶺南２丁目,,,
長嶺南３丁目,,,
長嶺南４丁目,,,
長嶺南５丁目,,,
長嶺南６丁目,,,
長嶺南７丁目,,,
長嶺南８丁目,,,
長嶺東１丁目,,,
長嶺東２丁目,,,
長嶺東３丁目,,,
長嶺東４丁目,,,
長嶺東５丁目,,,
長嶺東６丁目,,,
長嶺東７丁目,,,
長嶺東８丁目,,,
長嶺町,,,
長嶺西１丁目,,,
長嶺西２丁目,,,
長嶺西３丁目,,,
飛田町,,,
飛田１丁目,,,
飛田２丁目,,,
飛田３丁目,,,
飛田４丁目,,,
馬渡１丁目,,,
馬渡２丁目,,,
高平１丁目,,,
高平２丁目,,,
高平３丁目,,,
高橋町,,,
高江町,,,
魚屋町１丁目,,,
魚屋町２丁目,,,
魚屋町３丁目,,,
鶴羽田町,,,
鹿子木町,,,
鹿帰瀬町,,,
黒髪町大字坪井,,,
黒髪１丁目,,,
黒髪２丁目,,,
黒髪３丁目,,,
黒髪４丁目,,,
黒髪５丁目,,,
黒髪６丁目,【秘匿】黒髪８丁目を含みます,,
黒髪７丁目,,,
黒髪８丁目,【秘匿】黒髪６丁目を含みます,,
龍田町上立田,,,
龍田町弓削,,,
龍田町陳内,,,
