町丁名,年度,変化率(%),変化タイプ,変化の大きさ,原因
慶徳堀町,2013,775.0,激増,775.0,分譲マンション「エイルマンション慶徳イクシオ」竣工
魚屋町１丁目,2020,509.99999999999994,激増,509.99999999999994,「（仮称）魚屋町・紺屋町マンション新築工事」完成
楠３丁目,2000,413.0952380952382,激増,413.0952380952382,
紺屋町１丁目,2002,245.83333333333337,激増,245.83333333333337,
秋津新町,2019,242.3076923076923,激増,242.3076923076923,「秋津新町マンション 新築工事」完成
鍛冶屋町,2014,222.41379310344823,激増,222.41379310344823,大型分譲「グランドオーク唐人町通り」竣工
河原町,2006,184.48275862068965,激増,184.48275862068965,「エバーライフ熊本中央」竣工
近見１丁目,2001,183.33333333333331,激増,183.33333333333331,集合住宅「プラーノウエスト」など竣工
千葉城町,2013,183.06451612903223,激増,183.06451612903223,「アンピール熊本城」完成
紺屋町２丁目,2022,145.45454545454547,激増,145.45454545454547,
春日３丁目,2013,145.3846153846154,激増,145.3846153846154,熊本駅周辺再開発の進行
本山３丁目,2009,130.92269326683294,激増,130.92269326683294,熊本駅東側の大規模マンション群完成
八島町,2008,129.7872340425532,激増,129.7872340425532,
西阿弥陀寺町,2025,122.91666666666669,激増,122.91666666666669,
横紺屋町,2006,121.05263157894736,激増,121.05263157894736,
春日２丁目,2014,116.4179104477612,激増,116.4179104477612,
桜木６丁目,2015,109.75609756097562,激増,109.75609756097562,
呉服町３丁目,2011,93.98496240601504,大幅増加,93.98496240601504,
辛島町,2006,88.88888888888889,大幅増加,88.88888888888889,
東子飼町,2000,86.79245283018868,大幅増加,86.79245283018868,
春日３丁目,2014,84.32601880877742,大幅増加,84.32601880877742,
松原町,2023,80.0,大幅増加,80.0,
山ノ内１丁目,2007,75.86206896551724,大幅増加,75.86206896551724,
上京塚町,2001,75.75757575757575,大幅増加,75.75757575757575,
米屋町１丁目,2008,70.98445595854922,大幅増加,70.98445595854922,
南熊本２丁目,2018,70.39106145251397,大幅増加,70.39106145251397,
魚屋町２丁目,2020,66.66666666666666,大幅増加,66.66666666666666,
紺屋町１丁目,2020,64.70588235294117,大幅増加,64.70588235294117,
九品寺２丁目,2008,61.51142355008787,大幅増加,61.51142355008787,
辛島町,2007,61.1764705882353,大幅増加,61.1764705882353,
近見２丁目,2001,61.04868913857678,大幅増加,61.04868913857678,
中江町,2016,60.97560975609756,大幅増加,60.97560975609756,
水道町,2004,60.53268765133172,大幅増加,60.53268765133172,
春日３丁目,2012,60.49382716049383,大幅増加,60.49382716049383,
川端町,2010,59.09090909090909,大幅増加,59.09090909090909,
古大工町,2024,58.82352941176471,大幅増加,58.82352941176471,
田迎１丁目,2005,58.77437325905292,大幅増加,58.77437325905292,
段山本町,2023,55.98705501618123,大幅増加,55.98705501618123,
九品寺６丁目,2006,55.88235294117647,大幅増加,55.88235294117647,
桜町,2020,55.11551155115512,大幅増加,55.11551155115512,
辛島町,2008,55.1094890510949,大幅増加,55.1094890510949,
馬渡１丁目,2002,53.333333333333336,大幅増加,53.333333333333336,
船場町下１丁目,2001,52.5974025974026,大幅増加,52.5974025974026,
出仲間９丁目,2014,52.093023255813954,大幅増加,52.093023255813954,
大江３丁目,2016,51.855287569573285,大幅増加,51.855287569573285,
八幡８丁目,2006,50.79365079365079,大幅増加,50.79365079365079,
紺屋町１丁目,2001,50.0,大幅増加,50.0,
横紺屋町,2000,50.0,大幅増加,50.0,
出仲間５丁目,2007,49.795918367346935,大幅増加,49.795918367346935,
呉服町２丁目,2001,49.62406015037594,大幅増加,49.62406015037594,
千葉城町,2014,49.572649572649574,大幅増加,49.572649572649574,
九品寺６丁目,2001,49.44071588366891,大幅増加,49.44071588366891,
出仲間８丁目,2003,47.82608695652174,大幅増加,47.82608695652174,
佐土原３丁目,2013,47.651006711409394,大幅増加,47.651006711409394,
中江町,2003,46.93877551020408,大幅増加,46.93877551020408,
近見９丁目,2000,45.94594594594595,大幅増加,45.94594594594595,
春日２丁目,2025,45.64564564564565,大幅増加,45.64564564564565,
魚屋町３丁目,2021,45.45454545454545,大幅増加,45.45454545454545,
米屋町１丁目,2009,44.84848484848485,大幅増加,44.84848484848485,
草葉町,2003,44.0,大幅増加,44.0,
武蔵ケ丘９丁目,2007,43.641618497109825,大幅増加,43.641618497109825,
船場町３丁目,2005,43.28358208955223,大幅増加,43.28358208955223,
出仲間９丁目,2006,41.9753086419753,大幅増加,41.9753086419753,
佐土原２丁目,2017,40.34653465346535,大幅増加,40.34653465346535,
城東町,2005,40.09433962264151,大幅増加,40.09433962264151,
紺屋町２丁目,2004,39.39393939393939,大幅増加,39.39393939393939,
平田２丁目,2012,38.767395626242546,大幅増加,38.767395626242546,
横紺屋町,1999,38.46153846153847,大幅増加,38.46153846153847,
近見８丁目,2002,37.80135004821601,大幅増加,37.80135004821601,
春日１丁目,2012,37.640449438202246,大幅増加,37.640449438202246,
上熊本１丁目,2021,36.74641148325359,大幅増加,36.74641148325359,
南高江３丁目,1999,36.02941176470589,大幅増加,36.02941176470589,
坪井６丁目,2000,34.93975903614458,大幅増加,34.93975903614458,
飛田町,2000,34.48275862068966,大幅増加,34.48275862068966,
佐土原３丁目,2015,34.385964912280706,大幅増加,34.385964912280706,
紺屋阿弥陀寺町,2018,33.33333333333333,大幅増加,33.33333333333333,
出仲間３丁目,2003,33.114035087719294,大幅増加,33.114035087719294,
南熊本２丁目,2020,32.33532934131736,大幅増加,32.33532934131736,
月出１丁目,2008,31.5136476426799,大幅増加,31.5136476426799,
川端町,2016,30.23255813953488,大幅増加,30.23255813953488,
板屋町,2023,30.0,大幅増加,30.0,
魚屋町２丁目,2021,30.0,大幅増加,30.0,
魚屋町１丁目,2003,-30.434782608695656,大幅減少,30.434782608695656,
春日３丁目,2011,-30.76923076923077,大幅減少,30.76923076923077,
西阿弥陀寺町,2020,-31.007751937984494,大幅減少,31.007751937984494,
楠２丁目,2014,-31.132075471698112,大幅減少,31.132075471698112,
東町１丁目,2024,-31.717171717171716,大幅減少,31.717171717171716,
春日３丁目,2009,-32.114882506527415,大幅減少,32.114882506527415,
保田窪２丁目,2013,-35.65891472868217,大幅減少,35.65891472868217,
田崎町,2017,-36.17021276595745,大幅減少,36.17021276595745,
板屋町,2022,-37.5,大幅減少,37.5,
魚屋町２丁目,2006,-40.0,大幅減少,40.0,
田迎町大字田井島,2001,-40.0,大幅減少,40.0,
飛田町,1999,-43.13725490196079,大幅減少,43.13725490196079,
三郎１丁目,2013,-46.59357870007831,大幅減少,46.59357870007831,
八島町,2006,-50.40650406504065,大幅減少,50.40650406504065,
春日３丁目,2010,-55.00000000000001,大幅減少,55.00000000000001,
下硯川町,2011,-58.54309687261632,大幅減少,58.54309687261632,
横手３丁目,2013,-66.11842105263158,大幅減少,66.11842105263158,
世安町,2022,-70.10309278350515,大幅減少,70.10309278350515,
小島下町,2008,-72.04385277995301,大幅減少,72.04385277995301,
平成１丁目,2013,-78.46410684474124,大幅減少,78.46410684474124,
湖東１丁目,2013,-82.92682926829268,大幅減少,82.92682926829268,
小島上町,2008,-85.05154639175258,大幅減少,85.05154639175258,
鶴羽田町,2010,-86.39303482587066,大幅減少,86.39303482587066,
黒髪７丁目,2013,-87.48353096179183,大幅減少,87.48353096179183,
近見町,2001,-90.16018306636155,大幅減少,90.16018306636155,
東京塚町,2013,-90.72265625,大幅減少,90.72265625,
小山町,2004,-91.41075604053,大幅減少,91.41075604053,
田迎町大字田井島,2000,-95.26184538653366,大幅減少,95.26184538653366,
神水本町,2013,-95.29761904761904,大幅減少,95.29761904761904,
江津２丁目,2013,-95.6479217603912,大幅減少,95.6479217603912,
徳王町,2009,-95.79918032786884,大幅減少,95.79918032786884,
戸島町,2003,-98.27044025157232,大幅減少,98.27044025157232,
薄場町,2001,-98.30508474576273,大幅減少,98.30508474576273,
