町丁名,年度,変化率(%),変化タイプ
慶徳堀町,2013,775.0,大幅増加
魚屋町１丁目,2020,509.99999999999994,大幅増加
総数,2006,437.3239436619718,大幅増加
楠３丁目,2000,413.09523809523813,大幅増加
紺屋町１丁目,2002,245.83333333333334,大幅増加
秋津新町,2019,242.3076923076923,大幅増加
鍛冶屋町,2014,222.41379310344826,大幅増加
河原町,2006,184.48275862068965,大幅増加
近見１丁目,2001,183.33333333333331,大幅増加
千葉城町,2013,183.06451612903226,大幅増加
紺屋町２丁目,2022,145.45454545454547,大幅増加
春日３丁目,2013,145.3846153846154,大幅増加
本山３丁目,2009,130.92269326683294,大幅増加
八島町,2008,129.7872340425532,大幅増加
西阿弥陀寺町,2025,122.91666666666667,大幅増加
横紺屋町,2006,121.05263157894737,大幅増加
春日２丁目,2014,116.4179104477612,大幅増加
桜木６丁目,2015,109.75609756097562,大幅増加
呉服町３丁目,2011,93.98496240601504,大幅増加
辛島町,2006,88.88888888888889,大幅増加
東子飼町,2000,86.79245283018868,大幅増加
春日３丁目,2014,84.32601880877742,大幅増加
松原町,2023,80.0,大幅増加
山ノ内１丁目,2007,75.86206896551724,大幅増加
上京塚町,2001,75.75757575757575,大幅増加
米屋町１丁目,2008,70.98445595854922,大幅増加
南熊本２丁目,2018,70.39106145251397,大幅増加
魚屋町２丁目,2020,66.66666666666666,大幅増加
紺屋町１丁目,2020,64.70588235294117,大幅増加
九品寺２丁目,2008,61.511423550087876,大幅増加
辛島町,2007,61.1764705882353,大幅増加
近見２丁目,2001,61.04868913857678,大幅増加
中江町,2016,60.97560975609756,大幅増加
水道町,2004,60.53268765133172,大幅増加
春日３丁目,2012,60.49382716049383,大幅増加
川端町,2010,59.09090909090909,大幅増加
古大工町,2024,58.82352941176471,大幅増加
田迎１丁目,2005,58.77437325905292,大幅増加
段山本町,2023,55.98705501618123,大幅増加
九品寺６丁目,2006,55.88235294117647,大幅増加
桜町,2020,55.115511551155116,大幅増加
辛島町,2008,55.1094890510949,大幅増加
馬渡１丁目,2002,53.333333333333336,大幅増加
船場町下１丁目,2001,52.5974025974026,大幅増加
出仲間９丁目,2014,52.093023255813954,大幅増加
大江３丁目,2016,51.855287569573285,大幅増加
八幡８丁目,2006,50.79365079365079,大幅増加
紺屋町１丁目,2001,50.0,大幅増加
横紺屋町,2000,50.0,大幅増加
出仲間５丁目,2007,49.795918367346935,大幅増加
呉服町２丁目,2001,49.62406015037594,大幅増加
千葉城町,2014,49.572649572649574,大幅増加
九品寺６丁目,2001,49.44071588366891,大幅増加
出仲間８丁目,2003,47.82608695652174,大幅増加
佐土原３丁目,2013,47.651006711409394,大幅増加
中江町,2003,46.93877551020408,大幅増加
近見９丁目,2000,45.94594594594595,大幅増加
春日２丁目,2025,45.645645645645644,大幅増加
魚屋町３丁目,2021,45.45454545454545,大幅増加
米屋町１丁目,2009,44.84848484848485,大幅増加
草葉町,2003,44.0,大幅増加
武蔵ケ丘９丁目,2007,43.641618497109825,大幅増加
船場町３丁目,2005,43.28358208955223,大幅増加
出仲間９丁目,2006,41.9753086419753,大幅増加
佐土原２丁目,2017,40.34653465346535,大幅増加
城東町,2005,40.09433962264151,大幅増加
紺屋町２丁目,2004,39.39393939393939,大幅増加
平田２丁目,2012,38.767395626242546,大幅増加
横紺屋町,1999,38.46153846153847,大幅増加
近見８丁目,2002,37.80135004821601,大幅増加
春日１丁目,2012,37.640449438202246,大幅増加
上熊本１丁目,2021,36.74641148325359,大幅増加
南高江３丁目,1999,36.029411764705884,大幅増加
坪井６丁目,2000,34.93975903614458,大幅増加
飛田町,2000,34.48275862068966,大幅増加
佐土原３丁目,2015,34.385964912280706,大幅増加
紺屋阿弥陀寺町,2018,33.33333333333333,大幅増加
出仲間３丁目,2003,33.114035087719294,大幅増加
南熊本２丁目,2020,32.33532934131736,大幅増加
月出１丁目,2008,31.5136476426799,大幅増加
川端町,2016,30.23255813953488,大幅増加
板屋町,2023,30.0,大幅増加
魚屋町２丁目,2021,30.0,大幅増加
古川町,2018,29.807692307692307,大幅増加
佐土原３丁目,2014,29.545454545454547,大幅増加
上京塚町,2008,29.166666666666668,大幅増加
大江６丁目,2010,29.069767441860467,大幅増加
大江５丁目,2006,28.678678678678676,大幅増加
川端町,2025,28.57142857142857,大幅増加
横紺屋町,2007,28.57142857142857,大幅増加
迎町１丁目,2017,28.508124076809455,大幅増加
新屋敷１丁目,2001,28.306878306878307,大幅増加
戸島町,2019,27.878787878787882,大幅増加
八幡６丁目,2001,27.764127764127768,大幅増加
春日６丁目,2014,27.676240208877285,大幅増加
南高江５丁目,1999,27.586206896551722,大幅増加
大江６丁目,2013,27.349228611500703,大幅増加
春日５丁目,2021,26.590909090909093,大幅増加
京町本丁,2015,26.558265582655828,大幅増加
馬渡１丁目,2010,26.55367231638418,大幅増加
山室３丁目,2008,26.53061224489796,大幅増加
楠２丁目,2015,26.48401826484018,大幅増加
大江本町,1999,26.45739910313901,大幅増加
上京塚町,2007,26.31578947368421,大幅増加
南高江３丁目,2012,26.143790849673206,大幅増加
南高江５丁目,2020,26.0,大幅増加
南千反畑町,2002,25.4416961130742,大幅増加
武蔵ケ丘４丁目,2019,25.314183123877914,大幅増加
上熊本３丁目,2020,25.16297262059974,大幅増加
板屋町,2002,25.0,大幅増加
新南部２丁目,2001,24.84725050916497,大幅増加
二本木１丁目,2015,24.725274725274726,大幅増加
近見９丁目,2015,24.358974358974358,大幅増加
田迎町大字田井島,2016,24.324324324324326,大幅増加
保田窪２丁目,2006,24.11994784876141,大幅増加
田迎４丁目,2007,23.762376237623762,大幅増加
新屋敷１丁目,2006,23.548387096774192,大幅増加
画図町大字重富,2007,23.470122390208783,大幅増加
紺屋町２丁目,2023,23.456790123456788,大幅増加
段山本町,2019,23.348017621145374,大幅増加
南熊本３丁目,2025,23.32155477031802,大幅増加
佐土原２丁目,2004,23.28767123287671,大幅増加
細工町２丁目,2011,23.076923076923077,大幅増加
魚屋町１丁目,2013,23.076923076923077,大幅増加
長嶺西３丁目,2009,22.797927461139896,大幅増加
南熊本４丁目,2023,22.794117647058822,大幅増加
新屋敷３丁目,2010,22.638680659670165,大幅増加
鍛冶屋町,2015,22.459893048128343,大幅増加
田崎町,2024,22.22222222222222,大幅増加
川端町,2022,22.22222222222222,大幅増加
万町２丁目,2013,22.22222222222222,大幅増加
船場町３丁目,2003,22.105263157894736,大幅増加
佐土原３丁目,2016,21.93211488250653,大幅増加
長嶺南４丁目,2014,21.770770163735598,大幅増加
呉服町３丁目,1999,21.73913043478261,大幅増加
馬渡１丁目,2003,21.73913043478261,大幅増加
武蔵ケ丘９丁目,2011,21.651090342679126,大幅増加
八幡８丁目,2010,21.649484536082475,大幅増加
山ノ内２丁目,2001,21.55688622754491,大幅増加
江越１丁目,2004,21.553090332805073,大幅増加
保田窪２丁目,2004,21.553090332805073,大幅増加
硯川町,2019,21.428571428571427,大幅増加
清水万石１丁目,1999,21.374045801526716,大幅増加
上京塚町,2020,21.34831460674157,大幅増加
川尻２丁目,2002,21.195652173913043,大幅増加
神水本町,2018,21.12676056338028,大幅増加
船場町下１丁目,2009,21.052631578947366,大幅増加
春竹町大字春竹,2019,20.994475138121548,大幅増加
新市街,2019,20.863309352517987,大幅増加
細工町５丁目,2002,20.833333333333336,大幅増加
呉服町３丁目,2016,20.44609665427509,大幅増加
古大工町,2016,20.37037037037037,大幅増加
段山本町,2018,20.105820105820104,大幅増加
大江２丁目,2018,20.0,大幅増加
万町２丁目,2015,20.0,大幅増加
慶徳堀町,2002,20.0,大幅増加
八幡８丁目,2002,20.0,大幅増加
宮内,2016,20.0,大幅増加
南坪井町,2025,19.892473118279568,大幅増加
秋津新町,2021,19.852941176470587,大幅増加
春日３丁目,2023,19.81132075471698,大幅増加
紺屋今町,2006,19.78021978021978,大幅増加
小峯４丁目,2013,19.745222929936308,大幅増加
神水本町,2000,19.695872556118754,大幅増加
出仲間３丁目,2002,19.68503937007874,大幅増加
秋津１丁目,2004,19.65811965811966,大幅増加
井川淵町,2024,19.631901840490798,大幅増加
楠２丁目,2017,19.53405017921147,大幅増加
紺屋町２丁目,2009,19.444444444444446,大幅増加
若葉１丁目,2017,19.428571428571427,大幅増加
東町１丁目,1999,19.41031941031941,大幅増加
平成１丁目,2018,19.186046511627907,大幅増加
古大工町,2011,19.148936170212767,大幅増加
小峯３丁目,2016,19.103521878335112,大幅増加
万町２丁目,2020,19.047619047619047,大幅増加
御領６丁目,2007,18.97810218978102,大幅増加
南高江５丁目,2000,18.91891891891892,大幅増加
佐土原３丁目,2020,18.896321070234116,大幅増加
八幡８丁目,2005,18.867924528301888,大幅増加
武蔵ケ丘９丁目,2014,18.858560794044664,大幅増加
渡鹿６丁目,2006,18.84422110552764,大幅増加
近見９丁目,2005,18.75,大幅増加
上水前寺１丁目,2018,18.738049713193117,大幅増加
東町１丁目,2003,18.561484918793504,大幅増加
西原１丁目,2008,18.424242424242422,大幅増加
世安町,1999,18.375499334221036,大幅増加
水道町,2023,18.337129840546698,大幅増加
手取本町,2009,18.181818181818183,大幅増加
紺屋今町,2016,18.085106382978726,大幅増加
本山３丁目,2019,17.946058091286307,大幅増加
出町,2009,17.815344603381014,大幅増加
八幡８丁目,2011,17.796610169491526,大幅増加
船場町２丁目,2007,17.699115044247787,大幅増加
慶徳堀町,2001,17.647058823529413,大幅増加
平成１丁目,2015,17.6056338028169,大幅増加
菅原町,2011,17.528373266078184,大幅増加
二本木１丁目,2021,17.372881355932204,大幅増加
御領７丁目,2009,17.17171717171717,大幅増加
南高江３丁目,2013,17.098445595854923,大幅増加
渡鹿９丁目,2021,17.094017094017094,大幅増加
桜木６丁目,2003,17.073170731707318,大幅増加
薄場町,2020,17.073170731707318,大幅増加
小山町,2017,17.05263157894737,大幅増加
御領７丁目,2007,17.02127659574468,大幅増加
細工町２丁目,2021,17.02127659574468,大幅増加
近見９丁目,2002,16.9811320754717,大幅増加
大窪３丁目,2023,16.967509025270758,大幅増加
南高江５丁目,2024,16.923076923076923,大幅増加
中唐人町,2008,16.77018633540373,大幅増加
細工町１丁目,2011,16.666666666666664,大幅増加
薄場町,2013,16.666666666666664,大幅増加
万町２丁目,2016,16.666666666666664,大幅増加
古川町,2021,16.666666666666664,大幅増加
水道町,2009,16.532258064516128,大幅増加
米屋町２丁目,2021,16.450216450216452,大幅増加
日吉１丁目,2013,16.422594142259413,大幅増加
佐土原３丁目,2012,16.40625,大幅増加
山ノ内４丁目,2000,16.40625,大幅増加
山ノ内４丁目,1999,16.363636363636363,大幅増加
島崎４丁目,2000,16.303099885189436,大幅増加
南高江５丁目,2015,16.27906976744186,大幅増加
中江町,2013,16.27906976744186,大幅増加
大江２丁目,2019,16.185897435897438,大幅増加
蓮台寺５丁目,2014,16.184971098265898,大幅増加
上京塚町,2012,16.176470588235293,大幅増加
草葉町,2009,16.13691931540342,大幅増加
魚屋町３丁目,2017,16.071428571428573,大幅増加
練兵町,2009,16.056338028169016,大幅増加
慶徳堀町,2014,16.0,大幅増加
長嶺西３丁目,2025,16.0,大幅増加
万町２丁目,2021,16.0,大幅増加
南千反畑町,2025,15.950920245398773,大幅増加
細工町５丁目,2022,15.909090909090908,大幅増加
田迎町大字田井島,2018,15.909090909090908,大幅増加
飛田町,2014,15.909090909090908,大幅増加
九品寺１丁目,2025,15.88477366255144,大幅増加
下通２丁目,2016,15.822784810126583,大幅増加
桜木６丁目,2019,15.789473684210526,大幅増加
楠１丁目,2004,15.721231766612643,大幅増加
北迫町,2020,15.66265060240964,大幅増加
通町,2017,15.625,大幅増加
万町２丁目,1999,15.625,大幅増加
呉服町２丁目,2016,15.611814345991561,大幅増加
南熊本４丁目,2024,15.568862275449103,大幅増加
船場町３丁目,2004,15.517241379310345,大幅増加
幸田２丁目,2002,15.476190476190476,大幅増加
段山本町,2021,15.412186379928317,大幅増加
近見８丁目,2004,15.39961013645224,大幅増加
川端町,2012,15.384615384615385,大幅増加
魚屋町２丁目,2013,15.384615384615385,大幅増加
魚屋町３丁目,2014,15.384615384615385,大幅増加
魚屋町３丁目,2025,15.294117647058824,大幅増加
中江町,2020,15.151515151515152,大幅増加
船場町下１丁目,2008,15.151515151515152,大幅増加
八幡５丁目,2003,15.131578947368421,大幅増加
九品寺５丁目,2019,15.127840909090908,大幅増加
大窪１丁目,2017,15.104166666666666,大幅増加
千葉城町,2015,15.04761904761905,大幅増加
呉服町２丁目,2021,14.982578397212542,大幅増加
渡鹿４丁目,2010,14.862914862914863,大幅増加
桜木５丁目,2000,14.862385321100918,大幅増加
新屋敷１丁目,2002,14.845360824742269,大幅増加
新市街,2023,14.814814814814813,大幅増加
馬渡１丁目,2004,14.761904761904763,大幅増加
黒髪７丁目,2014,14.736842105263156,大幅増加
田崎町,2016,14.634146341463413,大幅増加
飛田町,2012,14.634146341463413,大幅増加
水前寺公園,1999,14.598930481283423,大幅増加
湖東１丁目,2025,14.457831325301203,大幅増加
春日３丁目,2015,14.45578231292517,大幅増加
古川町,2025,14.393939393939394,大幅増加
長嶺東７丁目,2004,14.363143631436316,大幅増加
山ノ内２丁目,2008,14.345991561181433,大幅増加
二本木２丁目,2016,14.331210191082802,大幅増加
東阿弥陀寺町,2008,14.285714285714285,大幅増加
桜木６丁目,2011,14.285714285714285,大幅増加
古川町,2017,14.285714285714285,大幅増加
通町,2015,14.285714285714285,大幅増加
田迎町大字田井島,2008,14.285714285714285,大幅増加
通町,2004,14.285714285714285,大幅増加
二本木２丁目,2019,14.246947082767978,大幅増加
九品寺５丁目,2005,14.217633042096903,大幅増加
井川淵町,2008,14.17910447761194,大幅増加
近見町,2017,14.084507042253522,大幅増加
二本木２丁目,2023,14.072494669509595,大幅増加
呉服町２丁目,2007,14.07035175879397,大幅増加
春日１丁目,2002,14.047619047619047,大幅増加
山ノ内４丁目,2006,14.02439024390244,大幅増加
米屋町３丁目,2016,14.009661835748794,大幅増加
飛田町,2017,14.000000000000002,大幅増加
長嶺南８丁目,2002,13.9937106918239,大幅増加
川端町,2014,13.953488372093023,大幅増加
山ノ内２丁目,2007,13.942307692307693,大幅増加
河原町,2007,13.939393939393941,大幅増加
沼山津３丁目,2019,13.938053097345133,大幅増加
南高江５丁目,2012,13.88888888888889,大幅増加
上熊本２丁目,2014,13.874345549738221,大幅増加
紺屋町３丁目,2016,13.861386138613863,大幅増加
本山町,2002,13.855799373040753,大幅増加
月出１丁目,2006,13.774973711882229,大幅増加
春日６丁目,2010,13.768115942028986,大幅増加
戸坂町,2010,13.750000000000002,大幅増加
通町,2006,13.725490196078432,大幅増加
坪井６丁目,2004,13.666465984346779,大幅増加
秋津３丁目,2020,13.654618473895583,大幅増加
細工町５丁目,2016,13.636363636363635,大幅増加
横紺屋町,2003,13.636363636363635,大幅増加
田崎町,2025,13.636363636363635,大幅増加
新町１丁目,2001,13.613013698630136,大幅増加
渡鹿９丁目,2020,13.592233009708737,大幅増加
八幡６丁目,2018,13.585746102449889,大幅増加
江津２丁目,2021,13.580246913580247,大幅増加
徳王町,2005,13.527851458885943,大幅増加
東町３丁目,2018,13.465195891974135,大幅増加
魚屋町３丁目,2012,13.461538461538462,大幅増加
山ノ内１丁目,2009,13.453815261044177,大幅増加
山室６丁目,2009,13.452914798206278,大幅増加
武蔵ケ丘９丁目,2010,13.427561837455832,大幅増加
魚屋町２丁目,2007,13.333333333333334,大幅増加
魚屋町２丁目,2014,13.333333333333334,大幅増加
保田窪２丁目,2003,13.285457809694792,大幅増加
飛田２丁目,2001,13.225058004640372,大幅増加
保田窪本町,2011,13.212996389891696,大幅増加
新屋敷２丁目,2014,13.160032493907392,大幅増加
細工町５丁目,2013,13.157894736842104,大幅増加
今町,2018,13.131313131313133,大幅増加
中央街,2014,13.101604278074866,大幅増加
紺屋町３丁目,2014,13.095238095238097,大幅増加
野中３丁目,2008,13.05732484076433,大幅増加
武蔵ケ丘８丁目,2021,13.024282560706402,大幅増加
新市街,2018,13.008130081300814,大幅増加
黒髪７丁目,2019,12.962962962962962,大幅増加
出仲間９丁目,2004,12.949640287769784,大幅増加
南熊本２丁目,2009,12.925170068027212,大幅増加
横紺屋町,2017,12.903225806451612,大幅増加
春日２丁目,2015,12.873563218390805,大幅増加
佐土原２丁目,2016,12.849162011173185,大幅増加
九品寺６丁目,2009,12.840043525571273,大幅増加
出仲間４丁目,2002,12.827225130890053,大幅増加
八景水谷３丁目,2002,12.769010043041607,大幅増加
大江２丁目,2020,12.758620689655173,大幅増加
佐土原３丁目,2023,12.738853503184714,大幅増加
出仲間９丁目,2010,12.719298245614036,大幅増加
栄町,2006,12.698412698412698,大幅増加
出仲間３丁目,2004,12.685337726523887,大幅増加
上京塚町,2016,12.676056338028168,大幅増加
長嶺南３丁目,2008,12.665489849955868,大幅増加
春日７丁目,2000,12.648809523809524,大幅増加
御領４丁目,2015,12.639405204460965,大幅増加
辛島町,2016,12.550607287449392,大幅増加
佐土原３丁目,2024,12.54237288135593,大幅増加
月出２丁目,2001,12.529002320185615,大幅増加
本山１丁目,2020,12.524850894632205,大幅増加
大江３丁目,2017,12.522907758094073,大幅増加
桜木６丁目,2007,12.5,大幅増加
田崎町,2023,12.5,大幅増加
細工町２丁目,2024,12.5,大幅増加
神水２丁目,1999,12.454212454212454,大幅増加
新大江２丁目,1999,12.429378531073446,大幅増加
飛田３丁目,1999,12.411347517730496,大幅増加
佐土原３丁目,2019,12.406015037593985,大幅増加
馬渡１丁目,1999,12.359550561797752,大幅増加
長嶺西３丁目,2013,12.345679012345679,大幅増加
上熊本２丁目,2018,12.332990750256938,大幅増加
水道町,2002,12.32876712328767,大幅増加
上熊本２丁目,2010,12.324492979719189,大幅増加
近見９丁目,2013,12.307692307692308,大幅増加
桜木３丁目,2000,12.307692307692308,大幅増加
渡鹿９丁目,2015,12.280701754385964,大幅増加
長嶺南３丁目,2006,12.278928751894897,大幅増加
御領６丁目,2008,12.269938650306749,大幅増加
飛田３丁目,2017,12.244897959183673,大幅増加
出仲間４丁目,2004,12.240663900414937,大幅増加
長嶺西３丁目,2003,12.23404255319149,大幅増加
帯山２丁目,2001,12.22301644031451,大幅増加
紺屋町２丁目,2012,12.195121951219512,大幅増加
中江町,2001,12.195121951219512,大幅増加
練兵町,1999,12.18274111675127,大幅増加
出町,2010,12.141280353200882,大幅増加
南熊本３丁目,2018,12.109375,大幅増加
春日３丁目,2024,12.106299212598424,大幅増加
春日６丁目,2011,12.101910828025478,大幅増加
南熊本４丁目,2010,12.033195020746888,大幅増加
薄場町,2023,12.0,大幅増加
近見７丁目,2013,11.992263056092844,大幅増加
健軍５丁目,2010,11.976047904191617,大幅増加
楠６丁目,2009,11.958762886597938,大幅増加
御領４丁目,2000,11.956521739130435,大幅増加
新大江１丁目,2003,11.851851851851853,大幅増加
出仲間４丁目,2003,11.832946635730858,大幅増加
紺屋町１丁目,2012,11.76470588235294,大幅増加
板屋町,1999,11.76470588235294,大幅増加
細工町１丁目,2009,11.76470588235294,大幅増加
横紺屋町,2020,11.76470588235294,大幅増加
平田２丁目,2008,11.73913043478261,大幅増加
月出１丁目,2007,11.737523105360443,大幅増加
春日５丁目,2023,11.732851985559567,大幅増加
武蔵ケ丘９丁目,2008,11.670020120724347,大幅増加
魚屋町１丁目,2024,11.666666666666666,大幅増加
下通２丁目,2015,11.66077738515901,大幅増加
新町２丁目,2017,11.639549436795996,大幅増加
練兵町,2008,11.635220125786164,大幅増加
野中３丁目,2002,11.570247933884298,大幅増加
春日１丁目,2001,11.553784860557768,大幅増加
魚屋町２丁目,2022,11.538461538461538,大幅増加
下南部１丁目,2010,11.526479750778815,大幅増加
魚屋町１丁目,2021,11.475409836065573,大幅増加
飛田町,2007,11.428571428571429,大幅増加
川端町,2011,11.428571428571429,大幅増加
飛田町,2024,11.428571428571429,大幅増加
戸島町,2020,11.374407582938389,大幅増加
湖東１丁目,2023,11.363636363636363,大幅増加
南坪井町,2018,11.324376199616124,大幅増加
細工町５丁目,2005,11.320754716981133,大幅増加
通町,2001,11.320754716981133,大幅増加
呉服町３丁目,2013,11.297071129707113,大幅増加
中江町,2018,11.29032258064516,大幅増加
総数,2000,11.29032258064516,大幅増加
南千反畑町,2005,11.267605633802818,大幅増加
魚屋町３丁目,2022,11.25,大幅増加
上京塚町,2019,11.25,大幅増加
保田窪１丁目,2012,11.226993865030675,大幅増加
南熊本５丁目,2005,11.22244488977956,大幅増加
田迎５丁目,2000,11.185682326621924,大幅増加
出仲間８丁目,2004,11.176470588235295,大幅増加
楠１丁目,2024,11.170212765957446,大幅増加
草葉町,2010,11.157894736842106,大幅増加
上熊本２丁目,2025,11.143131604226705,大幅増加
春日３丁目,2022,11.140235910878113,大幅増加
古大工町,2007,11.11111111111111,大幅増加
田崎町,2009,11.11111111111111,大幅増加
古大工町,2003,11.11111111111111,大幅増加
花畑町,2018,11.11111111111111,大幅増加
慶徳堀町,2011,11.11111111111111,大幅増加
上熊本２丁目,2017,11.073059360730593,大幅増加
井川淵町,2019,11.03448275862069,大幅増加
通町,2024,10.95890410958904,大幅増加
本山町,1999,10.95890410958904,大幅増加
出水２丁目,1999,10.943396226415095,大幅増加
小沢町,2018,10.9375,大幅増加
細工町２丁目,2022,10.909090909090908,大幅増加
山室１丁目,2006,10.881801125703564,大幅増加
飛田４丁目,2003,10.848126232741617,大幅増加
画図町大字重富,2008,10.845481049562682,大幅増加
桜木６丁目,2014,10.81081081081081,大幅増加
飛田町,2011,10.81081081081081,大幅増加
紺屋町３丁目,2024,10.81081081081081,大幅増加
明徳町,2006,10.81081081081081,大幅増加
野田１丁目,2009,10.775862068965516,大幅増加
魚屋町３丁目,2001,10.76923076923077,大幅増加
大江４丁目,2004,10.75268817204301,大幅増加
船場町３丁目,2013,10.69767441860465,大幅増加
田崎町,2002,10.666666666666668,大幅増加
新南部４丁目,2007,10.655737704918032,大幅増加
出水２丁目,2005,10.638297872340425,大幅増加
近見町,2021,10.606060606060606,大幅増加
万町１丁目,2021,10.606060606060606,大幅増加
中江町,2006,10.606060606060606,大幅増加
内坪井町,2011,10.579710144927535,大幅増加
春日７丁目,2001,10.568031704095112,大幅増加
大江４丁目,2003,10.549777117384844,大幅増加
平成３丁目,2007,10.538116591928251,大幅増加
山ノ内３丁目,2021,10.513447432762836,大幅増加
上鍛冶屋町,2019,10.497237569060774,大幅増加
小峯４丁目,2018,10.472972972972974,大幅増加
九品寺４丁目,2013,10.465116279069768,大幅増加
近見町,2006,10.465116279069768,大幅増加
細工町２丁目,2013,10.44776119402985,大幅増加
花立４丁目,2006,10.42654028436019,大幅増加
神水２丁目,2000,10.423452768729643,大幅増加
田迎５丁目,2005,10.420841683366733,大幅増加
細工町２丁目,2008,10.416666666666668,大幅増加
呉服町１丁目,2019,10.38961038961039,大幅増加
本荘３丁目,2010,10.37567084078712,大幅増加
南熊本４丁目,2025,10.362694300518134,大幅増加
上林町,2012,10.344827586206897,大幅増加
万町２丁目,2022,10.344827586206897,大幅増加
小沢町,2017,10.344827586206897,大幅増加
