town,year,event_type,confidence,intensity,lag_t,lag_t1,effect_direction,source_url,source_name,publish_date
八幡11丁目,2012,housing,1.0,1.0,1,1,increase,,,
九品寺5丁目,2019,housing,1.0,1.0,1,1,increase,,,
本山町,2002,housing,1.0,1.0,1,1,increase,,,
坪井6丁目,2004,housing,1.0,1.0,1,1,increase,,,
徳王町,2005,transit,1.0,1.0,0,1,increase,,,
徳王町,2005,public_edu_medical,1.0,1.0,0,1,increase,,,
徳王町,2005,housing,1.0,1.0,1,1,increase,,,
東町3丁目,2018,housing,1.0,1.0,1,1,increase,,,
長嶺南3丁目,2008,housing,1.0,1.0,1,1,increase,,,
月出2丁目,2001,public_edu_medical,1.0,1.0,0,1,increase,,,
月出2丁目,2001,commercial,1.0,1.0,1,1,increase,,,
月出2丁目,2001,housing,1.0,1.0,1,1,increase,,,
大江3丁目,2017,disaster,1.0,1.0,1,0,increase,,,
大江3丁目,2017,commercial,1.0,1.0,1,1,increase,,,
大江3丁目,2017,housing,1.0,1.0,1,1,increase,,,
長嶺南3丁目,2006,housing,1.0,1.0,1,1,increase,,,
神水本町,2018,transit,1.0,1.0,0,1,increase,,,
水前寺公園,2010,housing,1.0,1.0,1,1,increase,,,
長嶺東5丁目,2002,policy_boundary,1.0,1.0,1,0,decrease,,,
帯山1丁目,2007,housing,1.0,1.0,1,1,increase,,,
小山町,1999,housing,1.0,1.0,1,1,increase,,,
東町4丁目,2007,housing,1.0,1.0,1,1,increase,,,
東町4丁目,2009,housing,1.0,1.0,1,1,increase,,,
東町4丁目,2006,housing,1.0,1.0,1,1,increase,,,
東町4丁目,2014,housing,1.0,1.0,1,1,increase,,,
東町4丁目,2020,housing,1.0,1.0,1,1,increase,,,
東町3丁目,2024,transit,1.0,1.0,0,1,increase,,,
東町3丁目,2024,housing,1.0,1.0,1,1,increase,,,
東町3丁目,2015,housing,1.0,1.0,1,1,increase,,,
水前寺公園,1999,housing,1.0,1.0,1,1,increase,,,
近見8丁目,2004,policy_boundary,1.0,1.0,1,0,decrease,,,
大江2丁目,2004,policy_boundary,1.0,1.0,1,0,decrease,,,
大江2丁目,2019,housing,1.0,1.0,1,1,increase,,,
清水万石5丁目,2008,transit,1.0,1.0,0,1,increase,,,
清水万石5丁目,2008,housing,1.0,1.0,1,1,increase,,,
月出1丁目,2008,public_edu_medical,1.0,1.0,0,1,increase,,,
月出1丁目,2008,housing,1.0,1.0,1,1,increase,,,
小峯4丁目,2022,transit,1.0,1.0,0,1,increase,,,
小峯4丁目,2022,housing,1.0,1.0,1,1,increase,,,
元三町1丁目,2021,disaster,1.0,1.0,1,0,decrease,,,
元三町1丁目,2021,transit,1.0,1.0,0,1,increase,,,
元三町1丁目,2021,commercial,1.0,1.0,1,1,increase,,,
大江6丁目,2010,housing,1.0,1.0,1,1,increase,,,
二本木5丁目,2006,transit,1.0,1.0,1,1,decrease,,,
二本木5丁目,2006,housing,1.0,1.0,1,1,increase,,,
新屋敷1丁目,2001,housing,1.0,1.0,1,1,increase,,,
大江6丁目,2013,housing,1.0,1.0,1,1,increase,,,
上熊本3丁目,2020,transit,1.0,1.0,0,1,increase,,,
上熊本3丁目,2020,housing,1.0,1.0,1,1,increase,,,
新屋敷1丁目,2006,housing,1.0,1.0,1,1,increase,,,
画図町大字重富,2007,housing,1.0,1.0,1,1,increase,,,
長嶺南4丁目,2014,housing,1.0,100.0,1,1,increase,,,
京町本丁,2015,transit,1.0,1.0,0,1,increase,,,
京町本丁,2015,housing,1.0,1.0,1,1,increase,,,
大江2丁目,2018,housing,1.0,1.0,1,1,increase,,,
神水本町,2000,housing,1.0,1.0,1,1,increase,,,
渡鹿6丁目,2006,transit,1.0,1.0,0,1,increase,,,
渡鹿6丁目,2006,public_edu_medical,1.0,1.0,0,1,increase,,,
世安町,1999,employment,1.0,1.0,0,1,increase,,,
世安町,1999,housing,1.0,1.0,1,1,increase,,,
江津1丁目,2005,policy_boundary,1.0,1.0,1,0,decrease,,,
清水本町,1999,policy_boundary,1.0,1.0,1,0,decrease,,,
長嶺東8丁目,2012,housing,1.0,1.0,1,1,increase,,,
清水万石5丁目,2006,policy_boundary,1.0,1.0,1,0,decrease,,,
鶴羽田町,2010,policy_boundary,1.0,1.0,1,0,decrease,,,
海路口町,2006,policy_boundary,1.0,1.0,1,0,decrease,,,
画図町大字下江津,2008,policy_boundary,1.0,1.0,1,0,decrease,,,
近見町,2001,policy_boundary,1.0,1.0,1,0,decrease,,,
画図町大字下江津,2005,policy_boundary,1.0,1.0,1,0,decrease,,,
御領7丁目,1999,policy_boundary,1.0,1.0,1,0,decrease,,,
小山町,2004,policy_boundary,1.0,1.0,1,0,decrease,,,
池上町,2006,policy_boundary,1.0,1.0,1,0,decrease,,,
御幸西無田町,2000,policy_boundary,1.0,1.0,1,0,decrease,,,
清水町大字松崎,1999,policy_boundary,1.0,1.0,1,0,decrease,,,
龍田町弓削,2006,policy_boundary,1.0,1.0,1,0,decrease,,,
健軍本町,2007,policy_boundary,1.0,1.0,1,0,decrease,,,
江津2丁目,2006,policy_boundary,1.0,1.0,1,0,decrease,,,
徳王町,2009,policy_boundary,1.0,1.0,1,0,decrease,,,
田迎町大字良町,2000,policy_boundary,1.0,1.0,1,0,decrease,,,
坪井6丁目,2010,policy_boundary,1.0,1.0,1,0,decrease,,,
島崎7丁目,2001,policy_boundary,1.0,1.0,1,0,decrease,,,
御幸笛田町,2000,policy_boundary,1.0,1.0,1,0,decrease,,,
黒髪町大字坪井,2000,policy_boundary,1.0,1.0,1,0,decrease,,,
長嶺東8丁目,2004,policy_boundary,1.0,1.0,1,0,decrease,,,
御幸木部町,2000,policy_boundary,1.0,1.0,1,0,decrease,,,
画図町大字上無田,2005,policy_boundary,1.0,1.0,1,0,decrease,,,
戸島町,2003,policy_boundary,1.0,1.0,1,0,decrease,,,
薄場町,2001,policy_boundary,1.0,1.0,1,0,decrease,,,
田崎町,1999,policy_boundary,1.0,1.0,1,0,decrease,,,
石原町,2004,policy_boundary,1.0,1.0,1,0,decrease,,,
清水町大字打越,2002,policy_boundary,1.0,1.0,1,0,decrease,,,
小島上町,2008,policy_boundary,1.0,1.0,1,0,decrease,,,
中原町,2015,housing,1.0,1.0,1,1,increase,,,
楠1丁目,2000,policy_boundary,1.0,1.0,1,0,decrease,,,
中原町,2015,transit,1.0,1.0,0,1,increase,,,
龍田町弓削,2000,policy_boundary,1.0,1.0,1,0,decrease,,,
西原3丁目,2015,transit,1.0,1.0,0,1,increase,,,
楠2丁目,2014,housing,1.0,1.0,1,1,increase,,,
東町1丁目,2024,disaster,1.0,1.0,1,0,decrease,,,
東町1丁目,2024,transit,1.0,1.0,0,1,increase,,,
春日3丁目,2009,transit,1.0,1.0,0,1,increase,,,
春日3丁目,2009,employment,1.0,1.0,0,1,increase,,,
春日3丁目,2009,housing,1.0,1.0,1,1,decrease,,,
土河原町,2010,transit,1.0,1.0,0,1,increase,,,
土河原町,2010,housing,1.0,1.0,1,1,increase,,,
八幡1丁目,2000,policy_boundary,1.0,1.0,1,0,decrease,,,
上通町,2006,commercial,1.0,1.0,1,1,increase,,,
上通町,2006,housing,1.0,1.0,1,1,increase,,,
奥古閑町,2008,employment,1.0,1.0,0,1,increase,,,
奥古閑町,2008,housing,1.0,1.0,1,1,increase,,,
清水亀井町,2006,policy_boundary,1.0,1.0,1,0,decrease,,,
世安町,2022,transit,1.0,1.0,1,1,decrease,,,
春日3丁目,2010,transit,1.0,1.0,1,1,decrease,,,
春日3丁目,2010,employment,1.0,1.0,0,1,increase,,,
春日3丁目,2010,housing,1.0,1.0,1,1,decrease,,,
清水町大字打越,1999,policy_boundary,1.0,1.0,1,0,decrease,,,
下硯川町,2011,policy_boundary,1.0,1.0,1,0,decrease,,,
沼山津4丁目,2006,policy_boundary,1.0,1.0,1,0,decrease,,,
田迎町大字良町,2001,policy_boundary,1.0,1.0,1,0,decrease,,,
御幸笛田町,2001,policy_boundary,1.0,1.0,1,0,decrease,,,
小峯4丁目,2006,transit,1.0,1.0,0,1,increase,,,
小峯4丁目,2006,housing,1.0,1.0,1,1,increase,,,
南熊本2丁目,2020,housing,1.0,1.0,1,1,increase,,,
出仲間3丁目,2003,housing,1.0,1.0,1,1,increase,,,
出仲間3丁目,2003,commercial,1.0,1.0,1,1,increase,,,
本山3丁目,2009,housing,1.0,1.0,1,1,increase,,,
八島町,2008,housing,1.0,1.0,1,1,increase,,,
西阿弥陀寺町,2025,disaster,1.0,1.0,1,0,decrease,,,
西阿弥陀寺町,2025,housing,1.0,1.0,1,1,increase,,,
春日2丁目,2014,transit,1.0,1.0,0,1,increase,,,
春日2丁目,2014,housing,1.0,1.0,1,1,increase,,,
桜木6丁目,2015,commercial,1.0,1.0,1,1,increase,,,
桜木6丁目,2015,housing,1.0,1.0,1,1,increase,,,
呉服町3丁目,2011,transit,1.0,1.0,0,1,increase,,,
呉服町3丁目,2011,housing,1.0,1.0,1,1,increase,,,
東子飼町,2000,public_edu_medical,1.0,1.0,0,1,increase,,,
東子飼町,2000,housing,1.0,1.0,1,1,increase,,,
春日3丁目,2014,transit,1.0,1.0,0,1,increase,,,
春日3丁目,2014,housing,1.0,1.0,1,1,increase,,,
山ノ内1丁目,2007,housing,1.0,1.0,1,1,increase,,,
米屋町1丁目,2008,commercial,1.0,1.0,1,1,increase,,,
米屋町1丁目,2008,housing,1.0,1.0,1,1,increase,,,
南熊本2丁目,2018,transit,1.0,41.0,0,1,increase,,,
南熊本2丁目,2018,commercial,1.0,41.0,1,1,increase,,,
南熊本2丁目,2018,housing,1.0,41.0,1,1,increase,,,
九品寺2丁目,2008,public_edu_medical,1.0,1.0,0,1,increase,,,
九品寺2丁目,2008,housing,1.0,1.0,1,1,increase,,,
近見2丁目,2001,transit,1.0,1.0,0,1,increase,,,
近見2丁目,2001,commercial,1.0,1.0,1,1,increase,,,
近見2丁目,2001,housing,1.0,1.0,1,1,increase,,,
水道町,2004,commercial,1.0,1.0,1,1,increase,,,
水道町,2004,housing,1.0,1.0,1,1,increase,,,
田迎1丁目,2005,transit,1.0,1.0,0,1,increase,,,
八島町,2008,transit,1.0,1.0,0,1,increase,,,
本山3丁目,2009,transit,1.0,1.0,0,1,increase,,,
出仲間3丁目,2003,employment,1.0,1.0,0,1,increase,,,
江津2丁目,2008,housing,1.0,1.0,1,1,increase,,,
宮内,2006,housing,1.0,1.0,1,1,increase,,,
島崎7丁目,2006,housing,1.0,1.0,1,1,increase,,,
慶徳堀町,2013,housing,1.0,1.0,1,1,increase,,,
魚屋町1丁目,2020,transit,1.0,1.0,0,1,increase,,,
魚屋町1丁目,2020,commercial,1.0,1.0,1,1,increase,,,
山室6丁目,2006,public_edu_medical,1.0,1.0,0,1,increase,,,
山室6丁目,2006,housing,1.0,1.0,1,1,increase,,,
楠3丁目,2000,housing,1.0,5.0,1,1,increase,,,
紺屋町1丁目,2002,housing,1.0,1.0,1,1,increase,,,
秋津新町,2019,housing,1.0,1.0,1,1,increase,,,
鍛冶屋町,2014,employment,1.0,1.0,0,1,increase,,,
鍛冶屋町,2014,housing,1.0,1.0,1,1,increase,,,
今町,2010,transit,1.0,1.0,0,1,increase,,,
今町,2010,commercial,1.0,1.0,1,1,increase,,,
今町,2010,housing,1.0,1.0,1,1,increase,,,
元三町1丁目,2016,disaster,1.0,1.0,1,0,decrease,,,
元三町1丁目,2016,transit,1.0,1.0,0,1,increase,,,
元三町1丁目,2016,commercial,1.0,1.0,1,1,increase,,,
元三町1丁目,2016,housing,1.0,1.0,1,1,increase,,,
河原町,2006,housing,1.0,1.0,1,1,increase,,,
近見1丁目,2001,housing,1.0,1.0,1,1,increase,,,
清水万石5丁目,2011,housing,1.0,1.0,1,1,increase,,,
城東町,2010,housing,1.0,1.0,1,1,increase,,,
弥生町,2018,housing,1.0,1.0,1,1,increase,,,
戸島町,2006,housing,1.0,1.0,1,1,increase,,,
紺屋町2丁目,2022,housing,1.0,1.0,1,1,increase,,,
春日3丁目,2013,transit,1.0,1.0,0,1,increase,,,
田迎1丁目,2005,commercial,1.0,1.0,1,1,increase,,,
田迎1丁目,2005,housing,1.0,1.0,1,1,increase,,,
清水万石5丁目,2009,transit,1.0,1.0,0,1,increase,,,
清水万石5丁目,2009,housing,1.0,1.0,1,1,increase,,,
武蔵ケ丘9丁目,2007,housing,1.0,1.0,1,1,increase,,,
船場町3丁目,2005,housing,1.0,43.0,1,1,increase,,,
出仲間9丁目,2006,commercial,1.0,1.0,1,1,increase,,,
出仲間9丁目,2006,housing,1.0,1.0,1,1,increase,,,
佐土原2丁目,2017,commercial,1.0,67.0,1,1,increase,,,
佐土原2丁目,2017,housing,1.0,67.0,1,1,increase,,,
城東町,2005,commercial,1.0,1.0,1,1,increase,,,
城東町,2005,housing,1.0,1.0,1,1,increase,,,
平田2丁目,2012,employment,1.0,90.0,0,1,increase,,,
平田2丁目,2012,housing,1.0,90.0,1,1,increase,,,
近見8丁目,2002,housing,1.0,1.0,1,1,increase,,,
春日1丁目,2012,transit,1.0,1.0,0,1,increase,,,
春日1丁目,2012,public_edu_medical,1.0,1.0,0,1,increase,,,
春日1丁目,2012,commercial,1.0,1.0,1,1,increase,,,
春日1丁目,2012,housing,1.0,1.0,1,1,increase,,,
小峯4丁目,2019,transit,1.0,1.0,0,1,decrease,,,
小峯4丁目,2019,commercial,1.0,1.0,1,1,increase,,,
小峯4丁目,2019,housing,1.0,1.0,1,1,increase,,,
孫代町,2015,transit,1.0,1.0,0,1,increase,,,
孫代町,2015,housing,1.0,1.0,1,1,increase,,,
上熊本1丁目,2021,transit,1.0,1.0,0,1,increase,,,
上熊本1丁目,2021,commercial,1.0,1.0,1,1,increase,,,
上熊本1丁目,2021,housing,1.0,1.0,1,1,increase,,,
戸島町,2010,housing,1.0,1.0,1,1,increase,,,
江津2丁目,2013,policy_boundary,1.0,1.0,1,0,decrease,,,
坪井6丁目,2000,policy_boundary,1.0,1.0,1,0,decrease,,,
佐土原3丁目,2015,housing,1.0,1.0,1,1,increase,,,
武蔵ケ丘9丁目,2007,commercial,1.0,1.0,1,1,increase,,,
武蔵ケ丘9丁目,2007,employment,1.0,1.0,0,1,increase,,,
武蔵ケ丘9丁目,2007,transit,1.0,1.0,0,1,increase,,,
小峯4丁目,2020,transit,1.0,1.0,0,1,increase,,,
清水万石5丁目,2007,transit,1.0,1.0,0,1,increase,,,
清水万石5丁目,2007,housing,1.0,1.0,1,1,increase,,,
段山本町,2023,housing,1.0,1.0,1,1,increase,,,
九品寺6丁目,2006,housing,1.0,1.0,1,1,increase,,,
桜町,2020,transit,1.0,159.0,0,1,increase,,,
桜町,2020,commercial,1.0,159.0,1,1,increase,,,
桜町,2020,housing,1.0,159.0,1,1,increase,,,
馬渡1丁目,2002,housing,1.0,1.0,1,1,increase,,,
出仲間9丁目,2014,housing,1.0,1.0,1,1,increase,,,
大江3丁目,2016,disaster,1.0,1.0,1,0,decrease,,,
大江3丁目,2016,public_edu_medical,1.0,1.0,0,1,increase,,,
大江3丁目,2016,housing,1.0,1.0,1,1,increase,,,
小峯4丁目,2020,commercial,1.0,1.0,1,1,increase,,,
草葉町,2003,housing,1.0,1.0,1,1,increase,,,
出仲間5丁目,2007,housing,1.0,1.0,1,1,increase,,,
呉服町2丁目,2001,housing,1.0,1.0,1,1,increase,,,
千葉城町,2014,employment,1.0,1.0,0,1,increase,,,
千葉城町,2014,housing,1.0,1.0,1,1,increase,,,
九品寺6丁目,2001,housing,1.0,73.0,1,1,increase,,,
出仲間8丁目,2003,commercial,1.0,1.0,1,1,increase,,,
出仲間8丁目,2003,housing,1.0,1.0,1,1,increase,,,
佐土原3丁目,2013,housing,1.0,1.0,1,1,increase,,,
春日2丁目,2025,transit,1.0,1.0,0,1,increase,,,
春日2丁目,2025,housing,1.0,1.0,1,1,increase,,,
米屋町1丁目,2009,housing,1.0,98.0,1,1,increase,,,
草葉町,2003,commercial,1.0,1.0,1,1,increase,,,
上南部町,2001,policy_boundary,1.0,1.0,1,0,decrease,,,
世安町,2022,policy_boundary,1.0,1.0,1,0,decrease,https://www.city.kumamoto.jp/,熊本市告示,2021-11-29
春日3丁目,2022,commercial,1.0,1.0,1,1,increase,https://www.city.kumamoto.jp/|https://www.athome.co.jp/,熊本市公式サイト／アットホーム,2022-11-01
九品寺5丁目,2022,housing,1.0,1.0,1,1,increase,https://www.city.kumamoto.jp/,熊本市公式サイト,2022-02-01
国府2丁目,2022,housing,1.0,1.0,1,1,increase,https://www.city.kumamoto.jp/|https://www.athome.co.jp/,熊本市公式サイト／アットホーム,2021-02-28
出水5丁目,2022,housing,1.0,1.0,1,1,increase,https://rita-fudosan.jp/,リタ不動産,
本山町,2022,housing,1.0,1.0,1,1,increase,https://www.city.kumamoto.jp/,熊本市公式サイト,2022-06-10
八景水谷2丁目,2022,transit,1.0,1.0,1,0,decrease,https://www.city.kumamoto.jp/,熊本市公式サイト,
渡鹿7丁目,2022,foreigner,1.0,0.8,1,1,increase,https://www.kumamoto-u.ac.jp/,熊本大学,2022-12-07
四方寄町,2022,transit,1.0,1.0,1,0,decrease,https://shimatsukensetsu.co.jp/|https://n-search.jp/,島津建設／nSearch,
水前寺6丁目,2022,transit,1.0,1.0,1,0,decrease,https://www.kumamoto-park.jp/,水前寺江津湖公園公式,2022-10-28
水前寺公園,2022,transit,1.0,1.0,1,0,decrease,https://www.kumamoto-park.jp/,水前寺江津湖公園公式,2022-10-28
画図町大字下無田,2022,housing,1.0,1.0,1,1,increase,https://landformation.co.jp/,株式会社ランドフォーメーション,2022-08-02
川口町,2022,transit,1.0,1.0,1,0,decrease,https://www.sugimoto-kensetsu.co.jp/,株式会社杉本建設,2022-03-25